day,program,semester,period,time_start,time_end,lab_name,lab_block_length,prev_is_lab,next_is_lab,lab_occupied,week
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,1
Monday,,,2,09:20,10:10,Test Lab,0,0,1,0,1
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,1
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,1,1
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,1
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,1,1
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,1
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,1
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,1
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,1,1
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,1,1
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,1
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,1
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,0,1
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,1,1
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,1
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,0,1
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,1,1
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,1
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,1,1
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,1
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,1,1
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,1
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,1,1
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,1
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,1
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,1
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,1
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,1,1
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,1
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,1
Thursday,cse_g1,6.0,8,16:20,17:10,Test Lab,4,1,0,0,1
Friday,cse_aiml,6.0,1,08:30,09:20,Test Lab,4,0,1,1,1
Friday,cse_aiml,6.0,2,09:20,10:10,Test Lab,4,1,1,1,1
Friday,cse_aiml,6.0,3,10:30,11:20,Test Lab,4,1,1,1,1
Friday,cse_aiml,6.0,4,11:20,12:10,Test Lab,4,1,1,1,1
Friday,cse_g1,6.0,5,13:40,14:30,Test Lab,2,1,1,1,1
Friday,cse_g1,6.0,6,14:30,15:20,Test Lab,2,1,1,1,1
